Letter  Count   Percentage of Occurrence
   A       0           0.00%
   B       0           0.00%
   C       2           0.10%
   D       0           0.00%
   E       1           0.05%
   F       1           0.05%
   G       0           0.00%
   H       2           0.10%
   I       5           0.26%
   J       0           0.00%
   K       1           0.05%
   L       0           0.00%
   M       2           0.10%
   N       0           0.00%
   O       0           0.00%
   P       0           0.00%
   Q       0           0.00%
   R       1           0.05%
   S       1           0.05%
   T       7           0.36%
   U       1           0.05%
   V       0           0.00%
   W       2           0.10%
   X       0           0.00%
   Y       2           0.10%
   Z       0           0.00%
   a     140           7.24%
   b      26           1.35%
   c      71           3.67%
   d      50           2.59%
   e     241          12.47%
   f      41           2.12%
   g      46           2.38%
   h      79           4.09%
   i     110           5.69%
   j       5           0.26%
   k      11           0.57%
   l      75           3.88%
   m      69           3.57%
   n     108           5.59%
   o     171           8.85%
   p      67           3.47%
   q       0           0.00%
   r     135           6.98%
   s     128           6.62%
   t     158           8.17%
   u      60           3.10%
   v      24           1.24%
   w      49           2.53%
   x       2           0.10%
   y      39           2.02%
   z       0           0.00%
